#,City,District,Ward,address_code
1,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Thị Trấn Cờ Đỏ,R7148204
2,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thạnh Phú,R7148173
3,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thới Hưng,R7148174
4,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thới Xuân,R7148205
5,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Thới Đông,R7148206
6,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Trung An,R7148207
7,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Trung Hưng,R7148208
8,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Trung Thạnh,R7148209
9,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Đông Hiệp,R7148210
10,Thành Phố Cần Thơ,Huyện Cờ Đỏ,Xã Đông Thắng,R7148211
11,Thành Phố Cần Thơ,Huyện Phong Điền,Thị Trấn Phong Điền,R80003355
12,Thành Phố Cần Thơ,Huyện Phong Điền,Xã Giai Xuân,R80003357
13,Thành Phố Cần Thơ,Huyện Phong Điền,Xã Mỹ Khánh,R80003358
14,Thành Phố Cần Thơ,Huyện Phong Điền,Xã Nhơn Nghĩa,R80003353
15,Thành Phố Cần Thơ,Huyện Phong Điền,Xã Nhơn Ái,R80003352
16,Thành Phố Cần Thơ,Huyện Phong Điền,Xã Trường Long,R80003356
17,Thành Phố Cần Thơ,Huyện Phong Điền,Xã Tân Thới,R80003354
18,Thành Phố Cần Thơ,Huyện Thới Lai,Thị Trấn Thới Lai,R80003372
19,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Thới Thạnh,R80003378
20,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Thới Tân,R80003373
21,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Thành,R80003374
22,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Thắng,R80003379
23,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Xuân,R7148165
24,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Xuân A,R7148163
25,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Trường Xuân B,R7148164
26,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Tân Thạnh,R80003377
27,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Xuân Thắng,R80003375
28,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Đông Bình,R80003370
29,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Đông Thuận,R80003371
30,Thành Phố Cần Thơ,Huyện Thới Lai,Xã Định Môn,R80003376
31,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Thị Trấn Thạnh An,R80003368
32,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Thị Trấn Vĩnh Thạnh,R80003364
33,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh An,R80003365
34,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Lộc,R80003360
35,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Lợi,R80003366
36,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Mỹ,R80003367
37,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Quới,R80003361
38,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Thắng,R80003362
39,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Tiến,R80003363
40,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Vĩnh Bình,R80003369
41,Thành Phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Vĩnh Trinh,R80003359
42,Thành Phố Cần Thơ,Quận Bình Thủy,Phường An Thới,R80003383
43,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Bình Thủy,R80003388
44,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Bùi Hữu Nghĩa,R80003385
45,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Long Hòa,R80003384
46,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Long Tuyền,R80003380
47,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Thới An Đông,R80003381
48,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Trà An,R80003386
49,Thành Phố Cần Thơ,Quận Bình Thủy,Phường Trà Nóc,R80003382
50,Thành Phố Cần Thơ,Quận Cái Răng,Phường Ba Láng,R80003345
51,Thành Phố Cần Thơ,Quận Cái Răng,Phường Hưng Phú,R80003346
52,Thành Phố Cần Thơ,Quận Cái Răng,Phường Hưng Thạnh,R80003347
53,Thành Phố Cần Thơ,Quận Cái Răng,Phường Lê Bình,R80003348
54,Thành Phố Cần Thơ,Quận Cái Răng,Phường Phú Thứ,R80003349
55,Thành Phố Cần Thơ,Quận Cái Răng,Phường Thường Thạnh,R80003351
56,Thành Phố Cần Thơ,Quận Cái Răng,Phường Tân Phú,R80003350
57,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Bình,R80003336
58,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Cư,R80003337
59,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Hòa,R80003333
60,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Hội,R80003334
61,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Khánh,R80003331
62,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Lạc,R80003341
63,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Nghiệp,R80003338
64,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường An Phú,R80003339
65,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường Cái Khế,R80003335
66,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường Hưng Lợi,R80003340
67,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường Thới Bình,R80003344
68,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường Tân An,R80003343
69,Thành Phố Cần Thơ,Quận Ninh Kiều,Phường Xuân Khánh,R80003332
70,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Thuận An,R80003391
71,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Thuận Hưng,R80003397
72,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Thạnh Hòa,R80003390
73,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Thốt Nốt,R80003396
74,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Thới Thuận,R80003395
75,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Trung Kiên,R80003398
76,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Trung Nhứt,R80003392
77,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Tân Hưng,R80003389
78,Thành Phố Cần Thơ,Quận Thốt Nốt,Phường Tân Lộc,R80003393
79,Thành Phố Cần Thơ,Quận Ô Môn,Phường Châu Văn Liêm,R80003326
80,Thành Phố Cần Thơ,Quận Ô Môn,Phường Long Hưng,R80003327
81,Thành Phố Cần Thơ,Quận Ô Môn,Phường Phước Thới,R80003328
82,Thành Phố Cần Thơ,Quận Ô Môn,Phường Thới An,R80003329
83,Thành Phố Cần Thơ,Quận Ô Môn,Phường Thới Hòa,R80003330
84,Thành Phố Cần Thơ,Quận Ô Môn,Phường Thới Long,R80003324
85,Thành Phố Cần Thơ,Quận Ô Môn,Phường Trường Lạc,R80003325
86,Thành Phố Hà Nội,Huyện Ba Vì,Thị Trấn Tây Đằng,R80198993
87,Thành Phố Hà Nội,Huyện Ba Vì,Xã Ba Trại,R80198976
88,Thành Phố Hà Nội,Huyện Ba Vì,Xã Ba Vì,R80198989
89,Thành Phố Hà Nội,Huyện Ba Vì,Xã Cam Thượng,R80198968
90,Thành Phố Hà Nội,Huyện Ba Vì,Xã Chu Minh,R80198992
91,Thành Phố Hà Nội,Huyện Ba Vì,Xã Châu Sơn,R80198977
92,Thành Phố Hà Nội,Huyện Ba Vì,Xã Cẩm Lĩnh,R80198990
93,Thành Phố Hà Nội,Huyện Ba Vì,Xã Cổ Đô,R80198969
94,Thành Phố Hà Nội,Huyện Ba Vì,Xã Khánh Thượng,R80198965
95,Thành Phố Hà Nội,Huyện Ba Vì,Xã Minh Châu,R80198966
96,Thành Phố Hà Nội,Huyện Ba Vì,Xã Minh Quang,R80198985
97,Thành Phố Hà Nội,Huyện Ba Vì,Xã Phong Vân,R80198974
98,Thành Phố Hà Nội,Huyện Ba Vì,Xã Phú Châu,R80198986
99,Thành Phố Hà Nội,Huyện Ba Vì,Xã Phú Cường,R80198963
100,Thành Phố Hà Nội,Huyện Ba Vì,Xã Phú Phương,R80198971
101,Thành Phố Hà Nội,Huyện Ba Vì,Xã Phú Sơn,R80198967
102,Thành Phố Hà Nội,Huyện Ba Vì,Xã Phú Đông,R80198980
103,Thành Phố Hà Nội,Huyện Ba Vì,Xã Sơn Đà,R80198972
104,Thành Phố Hà Nội,Huyện Ba Vì,Xã Thuần Mỹ,R80198988
105,Thành Phố Hà Nội,Huyện Ba Vì,Xã Thái Hòa,R80198982
106,Thành Phố Hà Nội,Huyện Ba Vì,Xã Thụy An,R80198970
107,Thành Phố Hà Nội,Huyện Ba Vì,Xã Tiên Phong,R80198975
108,Thành Phố Hà Nội,Huyện Ba Vì,Xã Tòng Bạt,R80198978
109,Thành Phố Hà Nội,Huyện Ba Vì,Xã Tản Hồng,R80198981
110,Thành Phố Hà Nội,Huyện Ba Vì,Xã Tản Lĩnh,R80198987
111,Thành Phố Hà Nội,Huyện Ba Vì,Xã Vân Hòa,R80198991
112,Thành Phố Hà Nội,Huyện Ba Vì,Xã Vạn Thắng,R80198983
113,Thành Phố Hà Nội,Huyện Ba Vì,Xã Vật Lại,R80198984
114,Thành Phố Hà Nội,Huyện Ba Vì,Xã Yên Bài,R80198964
115,Thành Phố Hà Nội,Huyện Ba Vì,Xã Đông Quang,R80198973
116,Thành Phố Hà Nội,Huyện Ba Vì,Xã Đồng Thái,R80198979
117,Thành Phố Hà Nội,Huyện Chương Mỹ,Thị Trấn Chúc Sơn,R80199186
118,Thành Phố Hà Nội,Huyện Chương Mỹ,Thị Trấn Xuân Mai,R80199179
119,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Hoàng Diệu,R80199194
120,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Hoàng Văn Thụ,R80199185
121,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Hòa Chính,R80199193
122,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Hồng Phong,R80199183
123,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Hợp Đồng,R80199195
124,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Hữu Văn,R80199199
125,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Lam Điền,R80199175
126,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Mỹ Lương,R80199196
127,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Nam Phương Tiến,R80199189
128,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Ngọc Hòa,R80199176
129,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Phú Nam An,R80199197
130,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Phú Nghĩa,R80199200
131,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Phụng Châu,R80199177
132,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Quảng Bị,R80199180
133,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Thanh Bình,R80199191
134,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Thượng Vực,R80199178
135,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Thụy Hương,R80199201
136,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Thủy Xuân Tiên,R80199202
137,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Tiên Phương,R80199181
138,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Trung Hòa,R80199206
139,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Trường Yên,R80199182
140,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Trần Phú,R80199184
141,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Tân Tiến,R80199205
142,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Tốt Động,R80199190
143,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Văn Võ,R80199203
144,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Đông Phương Yên,R80199198
145,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Đông Sơn,R80199204
146,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Đại Yên,R80199187
147,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Đồng Lạc,R80199188
148,Thành Phố Hà Nội,Huyện Chương Mỹ,Xã Đồng Phú,R80199192
149,Thành Phố Hà Nội,Huyện Gia Lâm,Thị Trấn Trâu Quỳ,R80199344
150,Thành Phố Hà Nội,Huyện Gia Lâm,Thị Trấn Yên Viên,R80199349
151,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Bát Tràng,R80199336
152,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Cổ Bi,R80199350
153,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Dương Hà,R80199337
154,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Dương Quang,R80199338
155,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Dương Xá,R80199332
156,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Kim Lan,R80199333
157,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Kim Sơn,R80199334
158,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Kiêu Kỵ,R80199346
159,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Lệ Chi,R80199342
160,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Ninh Hiệp,R80199348
161,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Phù Đổng,R80199343
162,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Phú Thị,R80199339
163,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Trung Mầu,R80199345
164,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Văn Đức,R80199340
165,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Yên Thường,R80199335
166,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Yên Viên,R80314189
167,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Đa Tốn,R80199330
168,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Đình Xuyên,R80199341
169,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Đông Dư,R80199347
170,Thành Phố Hà Nội,Huyện Gia Lâm,Xã Đặng Xá,R80199331
171,Thành Phố Hà Nội,Huyện Hoài Đức,Thị Trấn Trạm Trôi,R80199024
172,Thành Phố Hà Nội,Huyện Hoài Đức,Xã An Khánh,R80199037
173,Thành Phố Hà Nội,Huyện Hoài Đức,Xã An Thượng,R80199025
174,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Cát Quế,R80199026
175,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Di Trạch,R80199031
176,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Dương Liễu,R80199027
177,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Kim Chung,R80199022
178,Thành Phố Hà Nội,Huyện Hoài Đức,Xã La Phù,R80199028
179,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Lại Yên,R80199029
180,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Minh Khai,R80199030
181,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Song Phương,R80199034
182,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Sơn Đồng,R80199038
183,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Tiền Yên,R80199023
184,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Vân Canh,R80199035
185,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Vân Côn,R80199036
186,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Yên Sở,R80199039
187,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Đông La,R80199032
188,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Đắc Sở,R80199020
189,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Đức Giang,R80199021
190,Thành Phố Hà Nội,Huyện Hoài Đức,Xã Đức Thượng,R80199033
191,Thành Phố Hà Nội,Huyện Mê Linh,Thị Trấn Chi Đông,R80199364
192,Thành Phố Hà Nội,Huyện Mê Linh,Thị Trấn Quang Minh,R80199360
193,Thành Phố Hà Nội,Huyện Mê Linh,Xã Chu Phan,R80199365
194,Thành Phố Hà Nội,Huyện Mê Linh,Xã Hoàng Kim,R80199351
195,Thành Phố Hà Nội,Huyện Mê Linh,Xã Kim Hoa,R80199366
196,Thành Phố Hà Nội,Huyện Mê Linh,Xã Liên Mạc,R80199358
197,Thành Phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,R80199352
198,Thành Phố Hà Nội,Huyện Mê Linh,Xã Tam Đồng,R80199367
199,Thành Phố Hà Nội,Huyện Mê Linh,Xã Thanh Lâm,R80199354
200,Thành Phố Hà Nội,Huyện Mê Linh,Xã Thạch Đà,R80199359
201,Thành Phố Hà Nội,Huyện Mê Linh,Xã Tiến Thắng,R80199361
202,Thành Phố Hà Nội,Huyện Mê Linh,Xã Tiến Thịnh,R80199355
203,Thành Phố Hà Nội,Huyện Mê Linh,Xã Tiền Phong,R80199353
204,Thành Phố Hà Nội,Huyện Mê Linh,Xã Tráng Việt,R80199356
205,Thành Phố Hà Nội,Huyện Mê Linh,Xã Tự Lập,R80199362
206,Thành Phố Hà Nội,Huyện Mê Linh,Xã Văn Khê,R80199368
207,Thành Phố Hà Nội,Huyện Mê Linh,Xã Vạn Yên,R80199363
208,Thành Phố Hà Nội,Huyện Mê Linh,Xã Đại Thịnh,R80199357
209,Thành Phố Hà Nội,Huyện Mỹ Đức,Thị Trấn Đại Nghĩa,R80199241
210,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã An Mỹ,R80199240
211,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã An Phú,R80199245
212,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã An Tiến,R80199236
213,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Bột Xuyên,R80199246
214,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Hùng Tiến,R80199249
215,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Hương Sơn,R80199250
216,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Hồng Sơn,R80199233
217,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Hợp Thanh,R80199242
218,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Hợp Tiến,R80199243
219,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Lê Thanh,R80199237
220,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Mỹ Thành,R80199234
221,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Phù Lưu Tế,R80199235
222,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Phùng Xá,R80199238
223,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Phúc Lâm,R80199251
224,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Thượng Lâm,R80199244
225,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Tuy Lai,R80199252
226,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Vạn Kim,R80199253
